id,longitude,latitude,total
100632099,-102.280815,31.917027,10.77
100632100,-74.203964,39.76583,25.21
100632103,-75.94181,39.806046,95.57
100632105,-122.42008,48.772957,38.53
100632106,-75.94181,39.806046,37.75
100632107,-77.372215,38.47234,84.22
100632109,-106.50517,35.079273,31.86
100632110,-91.00438,30.394226,137.09
100632112,-76.588295,39.338997,69.33
100632114,-87.74404,39.003136,22.37
100632116,-81.07133,35.035538,39.76
100632120,-121.34906,38.56707,34.94
100632122,-94.53873,39.1781,18.11
100632123,-122.616035,47.58146,61.37
100632124,-88.14276,41.73801,25.04
100632126,-120.86796,35.405014,19.94
100632127,-122.15406,38.048794,46.23
100632128,-110.95765,32.46314,87.39
100632129,-122.989624,44.976406,24.86
100632130,-86.20929,39.569897,47.94
100632131,-82.42258,34.8901,39.34
100632132,-74.46171,40.468155,20.77
100632133,-77.55616,38.765457,31.85
100632135,-95.617455,30.422083,80.32
100632137,-78.66977,40.39837,104.92
100632140,-120.152916,36.92366,33.89
100632141,-122.15309,47.513783,42.26
100632144,-81.37668,41.435665,148.36
100632146,-110.340996,32.086914,43.31
100632147,-121.77631,38.67609,28.04
100632148,-80.365265,26.03841,57.01
100632150,-93.746056,32.49803,38.83
100632151,-95.515495,36.09107,121.27
100632152,-80.84488,40.078335,40.78
100632154,-80.97105,32.02145,20.82
100632155,-83.25118,42.248386,57.14
100632158,-121.884026,38.011974,17.24
100632161,-91.88766,39.165733,70.26
100632165,-92.41508,45.956093,26.05
100632166,-98.61981,29.473125,17.5
100632167,-87.72021,41.6269,16.52
100632168,-76.205025,36.92353,29.99
100632171,-123.12156,44.026276,120.87
100632172,-88.7725,43.081497,35.58
100632173,-118.176956,33.82797,19.48
100632174,-96.32479,46.880306,47.91
100632175,-79.98042,40.383556,55.55
100632176,-116.32375,43.59799,63.7
100632177,-117.39377,47.605198,35.43
100632179,-72.88114,41.76486,40.04
100632180,-88.564705,40.022736,49.24
100632181,-86.73631,40.340595,109.31
100632182,-91.61095,41.97849,37.01
100632183,-86.02804,39.740677,26.64
100632184,-76.57527,36.714657,35.54
100632185,-84.070175,45.352573,203.14
100632186,-89.42347,42.04959,18.5
100632187,-82.18477,34.98938,19.33
100632188,-110.82596,32.293587,21.74
100632189,-118.41378,34.151688,36.59
100632191,-112.00859,40.61841,61.27
100632192,-88.99238,42.702267,26.22
100632194,-157.80887,21.414139,65.93
100632196,-82.63537,28.305695,153.03
100632197,-76.35217,43.164825,35.63
100632198,-75.3876,42.30781,36.04
100632200,-84.03178,34.097595,72.73
100632201,-117.77874,34.05882,89.14
100632202,-111.63114,32.809208,45.65
100632203,-80.385445,25.606646,62.92
100632205,-88.04252,43.109543,26.65
100632206,-121.91562,38.449688,189.76
100632208,-112.389786,33.654873,22.77
100632209,-84.44463,33.951023,34.85
100632210,-84.4984,39.603672,21.24
100632211,-85.64438,42.244194,62.91
100632212,-71.86335,42.36514,83.34
100632213,-85.63685,38.20295,31.8
100632214,-118.32421,33.88458,39.8
100632215,-94.07142,41.559044,67.43
100632216,-94.11391,45.26414,47.88
100632217,-95.84943,29.751955,205.5
100632220,-118.05142,33.780716,31.25
100632221,-117.658035,33.569054,51.67
